global_rank,domain,category,primary_market,monthly_visits,bounce_rate_pct,avg_session_duration_s,stickiness_index,last_crawled
358,aliyun.com,News,DE,55664392,50.16,356,11.83,07/02/2026
359,telegraph.co.uk,Streaming,US,50829576,16.46,1943.65,196.81,07/02/2026
360,rzone.de,Finance,JP,49292122,38.07,469.05,20.53,07/02/2026
361,cloudns.net,News,GB,60813318,37.04,409.56,18.43,07/02/2026
362,stanford.edu,Tech,JP,59574988,43.9,497.79,18.9,07/02/2026
363,nvidia.com,News,JP,51117022,54.1,596.99,18.39,07/02/2026
364,dailymotion.com,Search,GB,47143337,47.05,112.66,3.99,07/02/2026
365,avsxappcaptiveportal.com,Streaming,BR,55507116,19.63,2188.08,185.78,07/02/2026
366,pages.dev,E-commerce,IN,52116110,50.06,355.98,11.85,07/02/2026
367,tp-link.com,Social,DE,49536942,36.94,512.4,23.12,07/02/2026
368,ibyteimg.com,Finance,DE,54537398,30.29,334.76,18.42,07/02/2026
369,vkuser.net,Finance,JP,60244204,44.82,457.34,17.01,07/02/2026
370,heytapdl.com,E-commerce,IN,47144492,39.66,387.65,16.29,07/02/2026
371,mynetname.net,News,IN,43573225,47.52,209.74,7.36,07/02/2026
372,dell.com,Search,US,56462209,45.1,146.6,5.42,07/02/2026
373,adsafeprotected.com,Tech,JP,58249292,42.56,462.72,18.12,07/02/2026
374,netflix.net,E-commerce,US,50946828,35.89,401.32,18.64,07/02/2026
375,scdn.co,E-commerce,US,51955851,56.69,485.15,14.26,07/02/2026
376,cookielaw.org,Search,DE,53038250,35.77,166.97,7.78,07/02/2026
377,facebook.net,Search,IN,58182442,36.03,106.2,4.91,07/02/2026
378,aiv-delivery.net,Social,US,46189405,54.39,456.44,13.99,07/02/2026
379,vivoglobal.com,Streaming,IN,42554417,29.98,1283.6,71.36,07/02/2026
380,easebar.com,Finance,IN,47804372,43.12,251.97,9.74,07/02/2026
381,afternic.com,Social,US,54676627,32.46,218.66,11.23,07/02/2026
382,espn.com,Social,GB,53034508,31.13,498.18,26.67,07/02/2026
383,temu.com,Tech,IN,44148925,40.24,156.83,6.5,07/02/2026
384,sc-gw.com,Tech,IN,46470080,31.59,483.44,25.51,07/02/2026
385,merkle.io,Social,BR,43809331,43.68,395.73,15.1,07/02/2026
386,plesk.com,Streaming,IN,45046279,17.94,1295.35,120.34,07/02/2026
387,kwaipros.com,News,GB,51117711,39.98,455.46,18.99,07/02/2026
388,aliexpress.com,Social,BR,59644947,36.78,498.27,22.58,07/02/2026
389,netangels.ru,Finance,JP,42110462,51.17,311.53,10.15,07/02/2026
390,ngenix.net,E-commerce,GB,54398533,35.29,358.47,16.93,07/02/2026
391,unsplash.com,News,DE,46912647,34.71,517.34,24.84,07/02/2026
392,telegram.org,E-commerce,US,54366224,38.07,418.08,18.3,07/02/2026
393,discord.media,Search,BR,42661932,47.17,132.94,4.7,07/02/2026
394,nasa.gov,Tech,GB,51781920,34.26,207.86,10.11,07/02/2026
395,tiktokcdn-eu.com,Search,US,54059647,37.43,138.39,6.16,07/02/2026
396,globo.com,Streaming,IN,56233776,22.72,1873.51,137.43,07/02/2026
397,indeed.com,Search,JP,59345588,45.05,87.32,3.23,07/02/2026
398,amazonalexa.com,Tech,IN,50144189,54.63,518.65,15.82,07/02/2026
399,duckduckgo.com,Tech,GB,55534712,37.71,487.38,21.54,07/02/2026
400,businessinsider.com,News,DE,42068488,35.7,154.53,7.21,07/02/2026
401,google.com.br,E-commerce,JP,46558385,32.84,214.28,10.87,07/02/2026
402,nstld.com,Finance,BR,42803459,56.96,261.82,7.66,07/02/2026
403,expireddomains.com,Social,GB,49770927,39.28,476.74,20.23,07/02/2026
404,wp.com,Search,DE,44077688,47.66,124.08,4.34,07/02/2026
405,independent.co.uk,Tech,IN,52260300,50.69,323.68,10.64,07/02/2026
406,cornell.edu,News,JP,43483403,43.24,453.64,17.49,07/02/2026
407,ipv4only.arpa,Tech,DE,43806204,37.73,390.78,17.26,07/02/2026
408,sfx.ms,Search,GB,41500075,35.83,60.76,2.83,07/02/2026
409,huawei.com,News,IN,39626333,31.5,423.96,22.43,07/02/2026
410,aliyuncsslbintl.com,News,IN,57496418,49.16,370.52,12.56,07/02/2026
411,trustpilot.com,Search,DE,44143017,42.99,65.87,2.55,07/02/2026
412,amazon.de,Tech,DE,52090697,43.94,121.73,4.62,07/02/2026
413,avcdn.net,Finance,IN,56773960,34.02,574.99,28.17,07/02/2026
414,telegram.me,Social,BR,48227425,59.31,255.99,7.19,07/02/2026
415,tiktokv.eu,Tech,DE,43463823,52.99,144.23,4.54,07/02/2026
416,cookiedatabase.org,Finance,BR,42896910,37.73,493.75,21.81,07/02/2026
417,msidentity.com,Social,IN,48153387,39.09,532.02,22.68,07/02/2026
418,adobe.net,Search,US,44624433,41.49,133.19,5.35,07/02/2026
419,pangle.io,News,JP,43135340,38.27,172.85,7.53,07/02/2026
420,taobao.com,E-commerce,BR,52278813,30.36,371.35,20.39,07/02/2026
421,163.com,Search,JP,53007724,36.99,71.89,3.24,07/02/2026
422,steamcommunity.com,E-commerce,IN,44516457,44.1,241.28,9.12,07/02/2026
423,statista.com,Tech,GB,51141860,33.94,510.54,25.07,07/02/2026
424,xcal.tv,Streaming,JP,55923105,24.27,1574.96,108.16,07/02/2026
425,calendly.com,News,US,52524481,32.66,330.78,16.88,07/02/2026
426,imcmdb.net,Tech,IN,48354617,54.36,588.07,18.03,07/02/2026
427,quora.com,Streaming,US,54493595,16.3,1748.4,178.77,07/02/2026
428,firetvcaptiveportal.com,Streaming,IN,39596096,25.38,2319.56,152.32,07/02/2026
429,aol.com,Search,DE,47299063,44.1,126.77,4.79,07/02/2026
430,pixabay.com,News,JP,47513964,58.4,249.71,7.13,07/02/2026
431,hostgator.com,E-commerce,BR,44273973,54.87,326.25,9.91,07/02/2026
432,aiv-cdn.net,Social,GB,40514324,43.41,313.75,12.05,07/02/2026
433,teamviewer.com,Finance,GB,40959310,54.98,525.32,15.92,07/02/2026
434,duolingo.com,Tech,JP,45336916,40.01,257.15,10.71,07/02/2026
435,ipify.org,Streaming,DE,55485378,23.64,745.01,52.52,07/02/2026
436,cnbc.com,News,DE,50376416,52.39,438.66,13.95,07/02/2026
437,gamepass.com,News,BR,41035915,37.75,501.19,22.13,07/02/2026
438,wswebcdn.com,Tech,US,41139302,34,198.09,9.71,07/02/2026
439,telecid.ru,Tech,DE,47745116,42.69,410.18,16.01,07/02/2026
440,list-manage.com,Streaming,US,40752485,15.01,2309.68,256.46,07/02/2026
441,ietf.org,Social,DE,49721424,37.93,287.03,12.61,07/02/2026
442,crpt.ru,Finance,IN,54889318,37.61,244.08,10.82,07/02/2026
443,zendesk.com,Streaming,BR,42989828,29.98,1543.91,85.83,07/02/2026
444,walmart.com,Finance,DE,48913472,46.9,551.7,19.61,07/02/2026
445,goodreads.com,Streaming,US,50783833,17.97,1699.14,157.59,07/02/2026
446,nflxvideo.net,Search,JP,48236118,49.55,123.37,4.15,07/02/2026
447,addtoany.com,Social,JP,55913214,46.52,577.11,20.68,07/02/2026
448,online-metrix.net,Finance,JP,56529367,37.05,312.83,14.07,07/02/2026
449,oxylabs.io,News,US,38642979,31.71,227.87,11.98,07/02/2026
450,branch.io,Search,JP,53171046,49.66,104.65,3.51,07/02/2026
451,beian.gov.cn,News,GB,51304770,56.57,143.28,4.22,07/02/2026
452,foxnews.com,Streaming,JP,54228221,19.49,1000.25,85.54,07/02/2026
453,rbxcdn.com,Streaming,US,46764433,28.43,1047.38,61.4,07/02/2026
454,sberbank.ru,Streaming,IN,55646159,15.48,759.25,81.75,07/02/2026
455,cdnvideo.ru,Tech,BR,40292525,56.76,299.04,8.78,07/02/2026
456,line.me,News,BR,42082703,42.15,174.7,6.91,07/02/2026
457,gosuslugi.ru,Streaming,DE,43333532,24.8,1348.96,90.66,07/02/2026
458,giphy.com,Streaming,BR,51185238,27.03,735.43,45.35,07/02/2026
459,staples.com,Search,JP,54242172,39.39,159.72,6.76,07/02/2026
460,slideshare.net,Social,US,45909645,33.82,351.97,17.35,07/02/2026
461,gitlab.com,Finance,BR,42083000,57.21,236.01,6.88,07/02/2026
462,imgsmail.ru,Search,DE,44373963,39.35,112.16,4.75,07/02/2026
463,mediatek.com,Finance,BR,53658377,58.39,245.63,7.01,07/02/2026
464,byteglb.com,Tech,DE,47734953,43.73,464.17,17.69,07/02/2026
465,yahoo.co.jp,Finance,BR,42838281,54.92,315.25,9.57,07/02/2026
466,npr.org,Social,DE,46547095,50.1,173.09,5.76,07/02/2026
467,nflximg.com,Streaming,GB,51457768,26.32,959.62,60.77,07/02/2026
468,g.page,Social,US,40465695,48.53,565.78,19.43,07/02/2026
469,speedtest.net,E-commerce,US,43998804,45.09,469.36,17.35,07/02/2026
470,notamedia.ru,News,BR,51019143,54.3,337.36,10.35,07/02/2026
471,kwai.net,Finance,GB,41544782,34.05,233.27,11.42,07/02/2026
472,cdn20.com,Social,US,51775650,53.71,415.46,12.89,07/02/2026
473,worldnic.com,Finance,US,46831852,34.52,324.19,15.65,07/02/2026
474,eventbrite.com,News,US,46786700,49.59,374.83,12.6,07/02/2026
475,supercell.com,Tech,IN,46180997,40.68,153.23,6.28,07/02/2026
476,elasticbeanstalk.com,Streaming,JP,47418624,26.81,1040.07,64.66,07/02/2026
477,a-msedge.net,News,JP,43511648,39.8,557.28,23.34,07/02/2026
478,amplitude.com,Tech,JP,37332244,35.23,160.45,7.59,07/02/2026
479,mcafee.com,Streaming,US,53231197,29.99,1790.18,99.49,07/02/2026
480,google.de,E-commerce,US,39111524,57.73,144.64,4.18,07/02/2026
481,namebrightdns.com,E-commerce,US,42510241,52.56,422.34,13.39,07/02/2026
482,tbcache.com,E-commerce,JP,51565816,46.08,395.3,14.3,07/02/2026
483,hcaptcha.com,E-commerce,GB,42954579,52.45,381.66,12.13,07/02/2026
484,wired.com,E-commerce,DE,40527871,37.51,134.31,5.97,07/02/2026
485,amzn.to,Finance,DE,48749939,58.02,583.11,16.75,07/02/2026
486,mysql.com,Tech,JP,40822297,41.58,367.52,14.73,07/02/2026
487,alicdn.com,Finance,DE,42072025,45.48,124.58,4.57,07/02/2026
488,name.com,Finance,US,48004945,39.32,128.6,5.45,07/02/2026
489,nease.net,Streaming,DE,53152372,17.74,1895.9,178.12,07/02/2026
490,okta.com,Finance,GB,43919990,55,227.86,6.9,07/02/2026
491,myqcloud.com,News,IN,36996688,59.93,258.92,7.2,07/02/2026
492,icloud-content.com,Social,BR,45364205,38.14,552.92,24.16,07/02/2026
493,2mdn.net,Finance,GB,45743065,55.68,128.17,3.84,07/02/2026
494,telekom.net,Social,BR,53270126,32.74,449.89,22.9,07/02/2026
495,scribd.com,Streaming,IN,53888344,25.81,1707.69,110.27,07/02/2026
496,shein.com,Tech,GB,47965101,54.74,226.47,6.9,07/02/2026
497,indiatimes.com,E-commerce,US,52662876,53.79,209.73,6.5,07/02/2026
498,my.com,Social,BR,46184792,41.26,218.67,8.83,07/02/2026
499,behance.net,Search,BR,38899221,40.43,89.16,3.68,07/02/2026
500,uol.com.br,Search,US,41558583,44.57,122.14,4.57,07/02/2026
501,360yield.com,Tech,GB,39817627,48.99,434.3,14.78,07/02/2026
502,akamaitech.net,Social,DE,53425213,59.88,156.01,4.34,07/02/2026
503,qlivecdn.com,Social,JP,46014831,42.11,565.48,22.38,07/02/2026
504,sophos.com,Social,US,49706196,47.98,128.6,4.47,07/02/2026
505,stackoverflow.com,News,US,45248707,55.41,317.08,9.54,07/02/2026
506,ys7.com,E-commerce,US,38541210,50.02,171.07,5.7,07/02/2026
507,firefox.com,Streaming,GB,45847360,20.34,1437.55,117.79,07/02/2026
508,netease.com,News,GB,52154427,50.81,180.29,5.91,07/02/2026
509,tm-azurefd.net,Finance,GB,46409626,48.9,275.26,9.38,07/02/2026
510,safebrowsing.apple,Streaming,JP,45397755,17.21,2238.72,216.8,07/02/2026
511,svc.ms,Social,JP,36581489,41.78,163.81,6.53,07/02/2026
512,run.app,Streaming,JP,40151736,29.56,1414.72,79.77,07/02/2026
513,sohu.com,E-commerce,DE,48567314,33.43,403.29,20.11,07/02/2026
514,bsky.app,Social,US,37635502,53.19,326.57,10.23,07/02/2026
515,time.com,Streaming,US,41639856,20.82,1230.06,98.47,07/02/2026
516,gandi-ns.fr,E-commerce,US,47825885,31.82,427.08,22.37,07/02/2026
517,visualstudio.com,Streaming,JP,48370221,24.83,953.44,64,07/02/2026
518,t-online.de,Finance,DE,40285984,50.44,595.94,19.69,07/02/2026
519,paloaltonetworks.com,Search,IN,44038438,41.9,76.76,3.05,07/02/2026
520,consultant.ru,Tech,JP,46137487,59.17,421.02,11.86,07/02/2026
521,amazon.co.jp,E-commerce,US,49862798,38.63,398.1,17.18,07/02/2026
522,tencent-cloud.net,Tech,DE,38495005,33.92,419.63,20.62,07/02/2026
523,usatoday.com,Search,GB,42927433,39.37,96.08,4.07,07/02/2026
524,wb.ru,Streaming,GB,50712913,25.34,1592.07,104.71,07/02/2026
525,ft.com,E-commerce,DE,40283374,41.69,142.64,5.7,07/02/2026
526,blogger.com,Social,JP,50815345,44.48,207.2,7.76,07/02/2026
527,docker.com,E-commerce,IN,36265031,37.16,223.72,10.03,07/02/2026
528,deviantart.com,Search,GB,48050489,46.54,101.95,3.65,07/02/2026
529,xiaomi.net,News,BR,45272030,39.86,187.37,7.83,07/02/2026
530,xhamster.com,Tech,DE,41260340,52.73,487.37,15.4,07/02/2026
531,rutube.ru,News,DE,40298108,56.26,187.28,5.55,07/02/2026
532,ya.ru,Streaming,GB,43371074,15.06,1509.77,167.08,07/02/2026
533,gcdn.co,Tech,IN,40004928,42.1,386.76,15.31,07/02/2026
534,intel.com,Search,DE,45805493,48.15,108.18,3.74,07/02/2026
535,jquery.com,Search,DE,41021911,42.88,119.69,4.65,07/02/2026
536,rlcdn.com,E-commerce,US,37184780,34.65,391.78,18.84,07/02/2026
537,azure-dns.com,Search,JP,43742195,37.78,167.34,7.38,07/02/2026
538,dnspod.net,Finance,GB,45870555,49.58,235.75,7.92,07/02/2026
539,timeweb.ru,Finance,GB,39424968,55.21,530.08,16,07/02/2026
540,capcut.com,News,IN,41648527,48.51,417.8,14.35,07/02/2026
541,tplinkcloud.com,Social,GB,45129678,34.77,216.21,10.36,07/02/2026
542,eset.com,Tech,JP,45718418,52.83,240.77,7.6,07/02/2026
543,markmonitor.com,Search,US,46372981,47.18,69.73,2.46,07/02/2026
544,sharethrough.com,Streaming,GB,42923306,25.34,876.58,57.65,07/02/2026
545,fast.com,Tech,IN,46822812,53.58,540.81,16.82,07/02/2026
546,tripadvisor.com,Finance,DE,36778028,42.52,450.27,17.65,07/02/2026
547,dynatrace.com,E-commerce,JP,46820053,35.65,326.79,15.28,07/02/2026
548,2gis.com,News,IN,34308067,45,315.2,11.67,07/02/2026
549,rakuten.co.jp,Finance,BR,41965634,34.83,175.92,8.42,07/02/2026
550,google.com.hk,Streaming,US,38706708,16.6,2130.04,213.86,07/02/2026
551,hotjar.com,Finance,JP,49708914,32.95,205.85,10.41,07/02/2026
552,trendmicro.com,Tech,DE,45405686,41.13,433.57,17.57,07/02/2026
553,awswaf.com,News,DE,46892946,37.31,478.13,21.36,07/02/2026
554,awsglobalaccelerator.com,Finance,IN,37279540,45.18,545.21,20.11,07/02/2026
555,oup.com,Streaming,DE,47383606,24.99,2043.92,136.32,07/02/2026
556,t-mobile.com,Social,BR,36016243,53.31,377,11.79,07/02/2026
557,yahoodns.net,Streaming,BR,46722370,20.26,2281.43,187.68,07/02/2026
558,braze.com,E-commerce,DE,36898642,55.47,257.31,7.73,07/02/2026
559,bidswitch.net,Finance,US,48931718,55.39,192,5.78,07/02/2026
560,target.com,Social,GB,43087157,45.67,549.98,20.07,07/02/2026
561,onetrust.com,Streaming,DE,35338002,20.18,1840.56,152.01,07/02/2026
562,sina.com.cn,Tech,BR,43110348,55.73,220.6,6.6,07/02/2026
563,uk.com,Search,BR,46737022,44.03,116.17,4.4,07/02/2026
564,berkeley.edu,E-commerce,BR,49160540,57.57,481.45,13.94,07/02/2026
565,rt.ru,Streaming,BR,48994900,21.71,1528.19,117.32,07/02/2026
566,noaa.gov,Search,BR,45578666,39.29,160.83,6.82,07/02/2026
567,adobedtm.com,Finance,DE,43440728,44.18,450.74,17,07/02/2026
568,wix.com,Search,JP,41757170,39.72,162.1,6.8,07/02/2026
569,ovh.net,Finance,GB,39818947,54.63,553.53,16.89,07/02/2026
570,tandfonline.com,Social,JP,36388102,38.73,135.05,5.81,07/02/2026
571,playstation.com,E-commerce,BR,44126254,46.23,335.84,12.11,07/02/2026
572,googlezip.net,Tech,BR,44799572,48.37,303.34,10.45,07/02/2026
573,duckdns.org,Search,GB,47814085,45.77,104.7,3.81,07/02/2026
574,atlassian.com,News,GB,44588969,37.4,588.22,26.21,07/02/2026
575,tiktokrow-cdn.com,Search,BR,41537677,44.89,156.75,5.82,07/02/2026
576,ca.gov,Tech,GB,35915440,34.4,364.86,17.68,07/02/2026
577,britannica.com,News,GB,37848345,34.06,540.82,26.46,07/02/2026
578,loc.gov,Tech,US,46983784,48.91,425.72,14.51,07/02/2026
579,digitalocean.com,Tech,GB,39997609,41.23,434.75,17.57,07/02/2026
580,quickconnect.to,Social,GB,42637849,44.75,498.01,18.55,07/02/2026
581,shopee.com.br,E-commerce,US,39640037,38.46,417.19,18.08,07/02/2026
582,intercom.io,Finance,JP,44132091,48.17,274.66,9.5,07/02/2026
583,360safe.com,Search,IN,41606088,38.55,179.25,7.75,07/02/2026
584,eye4.cn,News,DE,41824753,46.78,470.92,16.78,07/02/2026
585,aboutads.info,Streaming,JP,42841133,25.36,992.51,65.23,07/02/2026
586,arxiv.org,E-commerce,DE,38238539,31.57,137.07,7.24,07/02/2026
587,licdn.com,Finance,IN,42558496,44.79,468.72,17.44,07/02/2026
588,optimizely.com,E-commerce,DE,49094849,42.09,526.86,20.86,07/02/2026
589,id5-sync.com,Social,JP,46982705,51.82,478.55,15.39,07/02/2026
590,spaceweb.pro,Finance,US,35963503,50.91,497.51,16.29,07/02/2026
591,comcast.com,Social,BR,42053355,38.87,358.33,15.36,07/02/2026
592,yelp.com,Tech,US,39708913,31.89,596.66,31.18,07/02/2026
593,substack.com,Finance,US,33056293,55.06,182.12,5.51,07/02/2026
594,free.fr,Tech,JP,34369689,38.54,179.21,7.75,07/02/2026
595,samsungapps.com,E-commerce,BR,44071325,38.16,204.85,8.95,07/02/2026
596,venmo.com,Search,US,45416755,45.51,78.23,2.86,07/02/2026
597,squarespace.com,Tech,BR,41194730,37.92,310.56,13.65,07/02/2026
598,ikea.com,Streaming,DE,44014502,21.27,2369.95,185.7,07/02/2026
599,nic.network,Search,US,43168110,36.95,77.89,3.51,07/02/2026
600,accuweather.com,Social,US,33379641,43.66,173.43,6.62,07/02/2026
601,dreamhost.com,Search,US,48898640,49.78,146.14,4.89,07/02/2026
602,ieee.org,Streaming,GB,36446313,22.24,2385.53,178.77,07/02/2026
603,googletagservices.com,Streaming,GB,36984497,28,909.06,54.11,07/02/2026
604,cnet.com,Tech,DE,46022558,33.89,203.52,10.01,07/02/2026
605,surveymonkey.com,E-commerce,DE,48727561,36.56,314.07,14.32,07/02/2026
606,verisign.com,E-commerce,IN,34531749,30.63,219.5,11.94,07/02/2026
607,mega.co.nz,Tech,DE,40854107,40.19,476.59,19.76,07/02/2026
608,ip-api.com,Search,BR,38255789,37.08,110.18,4.95,07/02/2026
609,hath.network,News,US,36258867,42.19,307.6,12.15,07/02/2026
610,fandom.com,Tech,BR,48125933,51.6,212.06,6.85,07/02/2026
611,grammarly.io,Search,US,36802708,35.99,124.65,5.77,07/02/2026
612,typekit.net,Social,IN,34544524,35.81,201.47,9.38,07/02/2026
613,twimg.com,Social,US,38725370,53.95,135.5,4.19,07/02/2026
614,jotform.com,Streaming,BR,32461418,21.29,696.68,54.54,07/02/2026
615,brave.com,Social,DE,40874855,36.73,487.77,22.13,07/02/2026
616,fontawesome.com,E-commerce,BR,39945011,51.51,305.99,9.9,07/02/2026
617,live.net,Search,BR,37937905,37.49,164.94,7.33,07/02/2026
618,stackadapt.com,Streaming,BR,37821976,27.09,914.23,56.25,07/02/2026
619,force.com,E-commerce,US,39218411,42.02,185.49,7.36,07/02/2026
620,lijit.com,Social,JP,41411251,31.78,186.71,9.79,07/02/2026
621,atlassian.net,Tech,US,39022522,54.01,174.39,5.38,07/02/2026
622,russianpost.ru,Social,BR,40886419,58.41,599.15,17.1,07/02/2026
623,imgur.com,Tech,BR,33020881,35.37,538.79,25.39,07/02/2026
624,typeform.com,Search,GB,35248042,36.28,82.48,3.79,07/02/2026
625,hicloud.com,E-commerce,US,40263533,48.12,475.54,16.47,07/02/2026
626,avito.ru,E-commerce,IN,43283707,36.89,259.3,11.72,07/02/2026
627,nike.com,E-commerce,BR,35924195,45.88,525.94,19.11,07/02/2026
628,conviva.com,News,IN,36928006,39.56,180.18,7.59,07/02/2026
629,cbsnews.com,Finance,DE,34754867,46.72,130.45,4.65,07/02/2026
630,newrelic.com,News,US,45808737,31.47,137.12,7.26,07/02/2026
631,bx-msedge.net,Search,JP,40865606,36.87,86.42,3.91,07/02/2026
632,yieldmo.com,News,GB,41405297,33.5,324.79,16.16,07/02/2026
633,smaato.net,Tech,IN,45265333,40.15,450.24,18.69,07/02/2026
634,arubanetworks.com,Search,JP,38961936,47.44,144.61,5.08,07/02/2026
635,b-msedge.net,Tech,US,40931826,54.17,526.63,16.2,07/02/2026
636,g.co,E-commerce,IN,43911751,51.92,506.03,16.24,07/02/2026
637,deepl.com,Social,GB,31958755,53.53,473.23,14.73,07/02/2026
638,ipinfo.io,Finance,IN,37852927,36.44,563.79,25.79,07/02/2026
639,edgecastdns.net,E-commerce,DE,41501227,32.74,235.22,11.97,07/02/2026
640,shutterstock.com,Search,US,35985098,43.96,107.52,4.08,07/02/2026
641,viber.com,Streaming,US,46339804,25.08,1659.92,110.31,07/02/2026
642,ted.com,E-commerce,JP,32717584,49.9,584.49,19.52,07/02/2026
643,amazon.fr,Finance,DE,36344393,58.19,334.37,9.58,07/02/2026
644,agkn.com,Streaming,DE,38613690,25.15,1022.98,67.79,07/02/2026
645,amazontrust.com,Social,JP,46148117,58.16,316.43,9.07,07/02/2026
646,redhat.com,News,DE,35907454,34.7,128.76,6.18,07/02/2026
647,elpais.com,News,IN,43160376,53.28,197.15,6.17,07/02/2026
648,wattpad.com,Streaming,JP,42884515,15.26,1811.98,197.9,07/02/2026
649,vidaahub.com,Search,GB,38270455,39.3,174.7,7.41,07/02/2026
650,marriott.com,Tech,BR,44020636,33.87,513.18,25.25,07/02/2026
651,githubusercontent.com,E-commerce,JP,34027270,58.27,165.07,4.72,07/02/2026
652,he.net,Search,GB,44524321,40.03,170.02,7.08,07/02/2026
653,pendo.io,Search,GB,43960900,49.95,170.79,5.7,07/02/2026
654,nintendo.com,News,GB,46121181,52.63,479.21,15.18,07/02/2026
655,tapad.com,News,BR,39984134,36.77,462.59,20.97,07/02/2026
656,ups.com,Tech,US,32907203,56.97,548.7,16.05,07/02/2026
657,wbbasket.ru,Social,US,39405613,44.39,462.99,17.38,07/02/2026
658,bluehost.com,Tech,DE,40607761,40.94,191.03,7.78,07/02/2026
659,outbrain.com,Finance,GB,32285276,46.06,446.33,16.15,07/02/2026
660,1rx.io,Tech,BR,31757404,35.49,237.96,11.17,07/02/2026
661,dotomi.com,News,US,33319940,39.23,512.95,21.79,07/02/2026
662,amazon.ca,News,GB,44091999,59.73,135.65,3.79,07/02/2026
663,techcrunch.com,Streaming,US,36844437,21.59,848.87,65.53,07/02/2026
664,google.co.uk,Tech,DE,39383326,38.38,512.3,22.25,07/02/2026
665,pinimg.com,E-commerce,JP,45410300,43.84,380.18,14.45,07/02/2026
666,withgoogle.com,Social,BR,41735421,40.91,404.05,16.46,07/02/2026
667,volcfcdndvs.com,News,BR,42760809,46.72,586.79,20.93,07/02/2026
668,rackspace.net,News,DE,44773299,47.12,140.19,4.96,07/02/2026
669,service.gov.uk,News,US,37699759,41.99,149.72,5.94,07/02/2026
670,impervadns.net,E-commerce,IN,32210377,46.66,213.4,7.62,07/02/2026
671,crwdcntrl.net,News,JP,32355260,43.9,453.56,17.22,07/02/2026
672,geobasket.ru,Social,JP,31602816,43.09,195.54,7.56,07/02/2026
673,mdpi.com,Finance,DE,37171119,49.05,156.7,5.32,07/02/2026
674,klaviyo.com,Finance,JP,43469979,40.32,128.5,5.31,07/02/2026
675,cambridge.org,Search,IN,38028535,40.59,90.85,3.73,07/02/2026
676,omnitagjs.com,News,BR,32331685,37.15,492.87,22.11,07/02/2026
677,hihonorcloud.com,E-commerce,DE,45293877,32.89,173.88,8.81,07/02/2026
678,sentinelone.net,Search,JP,30752207,44.44,160.5,6.02,07/02/2026
679,quantserve.com,News,IN,36820412,51.96,361.35,11.59,07/02/2026
680,dns-shop.ru,Social,US,40555465,51.73,392.5,12.65,07/02/2026
681,bdydns.com,Tech,IN,39616943,47.87,166.2,5.79,07/02/2026
682,publicnode.com,News,DE,39346737,53.83,204.56,6.33,07/02/2026
683,pvp.net,News,JP,38827949,53.59,316.94,9.86,07/02/2026
684,wp.pl,Streaming,GB,41017365,29.42,755.59,42.8,07/02/2026
685,appcenter.ms,E-commerce,JP,40346234,32.8,405.57,20.61,07/02/2026
686,bidr.io,Streaming,US,39286448,16.43,1417.24,143.77,07/02/2026
687,tiktokpangle.us,E-commerce,US,43208356,36.88,521.73,23.58,07/02/2026
688,unesco.org,News,BR,32435741,49.27,142.18,4.81,07/02/2026
689,spiegel.de,Tech,IN,35227652,54.91,211.27,6.41,07/02/2026
690,rackspace.com,Social,DE,35376631,49.39,139.18,4.7,07/02/2026
691,lemonde.fr,Social,DE,34188896,56.34,174.51,5.16,07/02/2026
692,anydesk.com,Finance,GB,41546195,52.75,120.69,3.81,07/02/2026
693,ozone.ru,Finance,US,44799517,30.03,389.55,21.62,07/02/2026
694,fb.com,Tech,GB,39334936,34.38,212.33,10.29,07/02/2026
695,aniview.com,E-commerce,DE,40123084,48.77,537.36,18.36,07/02/2026
696,nel.goog,News,IN,38879571,59.18,186.43,5.25,07/02/2026
697,browser-intake-datadoghq.com,Tech,DE,35599685,32.95,132.63,6.71,07/02/2026
698,mailchimp.com,E-commerce,JP,37925547,41.68,236.57,9.46,07/02/2026
699,liadm.com,E-commerce,DE,30935095,47.55,488.95,17.14,07/02/2026
700,liftoff.io,E-commerce,US,37903848,55.95,313.27,9.33,07/02/2026
701,steamstatic.com,E-commerce,IN,35300330,48.05,532.34,18.46,07/02/2026
702,telephony.goog,News,GB,39230463,49.69,499.15,16.74,07/02/2026
703,asus.com,Streaming,BR,38811770,28.96,2062.04,118.67,07/02/2026
704,onelink.me,Finance,DE,39164160,32.54,567.64,29.07,07/02/2026
705,kontur.ru,Social,US,37699315,49.41,134.69,4.54,07/02/2026
706,riotgames.com,Search,US,31111355,46.04,162.76,5.89,07/02/2026
707,freepik.com,Streaming,JP,44064110,21.16,2191.44,172.61,07/02/2026
708,360.cn,Social,DE,35617362,56.02,408.86,12.16,07/02/2026
709,mediafire.com,Search,BR,34499322,37.76,152.29,6.72,07/02/2026
710,samsungacr.com,Tech,IN,37818619,55.93,262.51,7.82,07/02/2026
711,gumgum.com,E-commerce,GB,39323391,55.27,233.25,7.03,07/02/2026
712,xvideos.com,Search,IN,33591217,47.33,110.3,3.88,07/02/2026
713,ring.com,Finance,JP,36549913,31.01,168.43,9.05,07/02/2026
714,dns.cn,Search,GB,40079848,35.66,74.12,3.46,07/02/2026
715,sagepub.com,News,US,43830842,31.61,299.5,15.79,07/02/2026
716,oraclecloud.com,E-commerce,BR,32569221,45.62,461.3,16.85,07/02/2026
